Par,Grupo,SD1,SD2
1,Normal,39.52076254861232,112.08116244946893
1,Triatleta,40.49676626010783,159.53080880832218
2,Normal,15.212578918475712,86.28604642067631
2,Triatleta,46.2466815393317,160.04648514421723
3,Normal,47.93835859623726,105.23963825549902
3,Triatleta,55.58181830872433,139.85341477746076
4,Normal,82.49717541245035,185.97089553416077
4,Triatleta,121.2444309036759,210.1661062276482
5,Normal,32.24618332918581,85.32931240390944
5,Triatleta,19.12248106773431,50.586070234758665
